tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,24-02-2015 11:35,,Eastern Time (US & Canada)
5.70E+17,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,24-02-2015 11:15,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,24-02-2015 11:15,Lets Play,Central Time (US & Canada)
5.70E+17,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,24-02-2015 11:13,San Francisco CA,Pacific Time (US & Canada)
5.70E+17,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,24-02-2015 11:12,Los Angeles,Pacific Time (US & Canada)
5.70E+17,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",,24-02-2015 11:11,San Diego,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,24-02-2015 10:53,Los Angeles,Eastern Time (US & Canada)
5.70E+17,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,24-02-2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,24-02-2015 10:30,NYC,America/New_York
5.70E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,24-02-2015 10:30,NYC,America/New_York
5.70E+17,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,24-02-2015 10:21,,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,24-02-2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,24-02-2015 09:42,west covina,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,thebrandiray,,0,I ❤️ flying @VirginAmerica. ☺️👍,,24-02-2015 09:15,Somewhere celebrating life. ,Atlantic Time (Canada)
5.70E+17,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,24-02-2015 09:04,Boston | Waltham,Quito
5.70E+17,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",24-02-2015 08:49,,
5.70E+17,positive,1,,,Virgin America,,ElvinaBeck,,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,,24-02-2015 08:30,Los Angeles,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,rjlynch21086,,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,,24-02-2015 08:27,"Boston, MA ",Eastern Time (US & Canada)
5.70E+17,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,,24-02-2015 05:44,"San Francisco, CA",Central Time (US & Canada)
5.70E+17,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",23-02-2015 23:34,Brooklyn,Atlantic Time (Canada)
5.70E+17,neutral,1,,,Virgin America,,JCervantezzz,,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,,23-02-2015 21:35,"California, San Francisco",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",23-02-2015 20:24,Texas,Central Time (US & Canada)
5.70E+17,neutral,0.6207,,,Virgin America,,miaerolinea,,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,23-02-2015 18:46,Worldwide,Caracas
5.70E+17,positive,1,,,Virgin America,,Nicsplace,,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,,23-02-2015 18:43,Central Texas,
5.70E+17,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,23-02-2015 18:19,Central Texas,
5.70E+17,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,@VirginAmerica when can I book my flight to Hawaii??,,23-02-2015 17:54,i'm creating a monster ,Pacific Time (US & Canada)
5.70E+17,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",,23-02-2015 17:32,,
5.70E+17,neutral,1,,,Virgin America,,GottAmanda,,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",23-02-2015 16:24,Los Angeles,
5.70E+17,neutral,0.6578,,0,Virgin America,,KGervaise,,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,23-02-2015 16:20,Georgia,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,23-02-2015 16:13,,
5.70E+17,positive,1,,,Virgin America,,arieldaie,,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,23-02-2015 16:08,Los Angeles,
5.70E+17,neutral,0.6799,,,Virgin America,,vacations7,,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,23-02-2015 16:04,Turks and caicos,
5.70E+17,positive,1,,,Virgin America,,ChelseaPoe666,,0,@VirginAmerica wow this just blew my mind,,23-02-2015 16:01,Oakland via Midwest ,Atlantic Time (Canada)
